Random,Name,Date,Location,Total Hours,Billable Hours,Clients Assigned,Clients Seen 
71,Felica Pajak  ,2/20/2020,Location C,5.00,4,3,3
53,Dorine Varnell  ,1/6/2020,Location B,1.00,0,5,2
93,Alvina Brazee  ,1/28/2020,Location D,5.00,0,2,2
24,Frederica Tope  ,4/1/2020,Location D,5.00,5,4,4
88,Frederica Tope  ,2/1/2020,Location D,2.00,0,1,1
42,Felica Pajak  ,3/1/2020,Location A,5.00,0,2,1
10,Mariano Defibaugh  ,4/2/2020,Location A,6.00,3,1,1
97,Bobbie Cannella  ,2/13/2020,Location D,6.00,6,3,1
87,Alvina Brazee  ,1/18/2020,Location B,3.00,0,1,1
28,Bobbie Cannella  ,4/3/2020,Location B,3.00,3,4,4
24,Rueben Maxfield  ,3/17/2020,Location A,2.00,0,2,2
98,Bobbie Cannella  ,1/4/2020,Location D,3.00,1,2,1
55,Alvina Brazee  ,4/7/2020,Location B,6.00,6,5,2
82,Mariano Defibaugh  ,1/23/2020,Location C,8.00,1,2,1
43,Dorine Varnell  ,4/5/2020,Location D,3.00,2,2,2
15,Alvina Brazee  ,2/7/2020,Location B,6.00,2,3,3
53,Mariano Defibaugh  ,2/12/2020,Location C,0.00,0,2,2
8,Frederica Tope  ,2/11/2020,Location B,2.00,0,5,5
39,Felica Pajak  ,2/10/2020,Location A,8.00,4,4,4
34,Felica Pajak  ,3/1/2020,Location A,8.00,5,4,2
28,Rueben Maxfield  ,3/17/2020,Location A,0.00,0,3,3
60,Felica Pajak  ,2/10/2020,Location A,7.00,1,1,1
60,Dorine Varnell  ,2/25/2020,Location D,7.00,7,4,4
23,Felica Pajak  ,3/21/2020,Location A,0.00,0,4,3
23,Alvina Brazee  ,1/28/2020,Location D,1.00,0,5,3
98,Carolina Golla  ,2/9/2020,Location D,1.00,1,3,1
17,Archie Mobley  ,2/14/2020,Location A,5.00,1,1,1
24,Frederica Tope  ,1/22/2020,Location B,4.00,4,1,1
17,Bobbie Cannella  ,2/23/2020,Location B,3.00,0,1,1
29,Frederica Tope  ,3/2/2020,Location B,1.00,0,4,4
96,Alvina Brazee  ,2/27/2020,Location B,5.00,2,2,1
51,Khalilah Gratz  ,1/9/2020,Location A,0.00,0,4,4
29,Archie Mobley  ,2/24/2020,Location C,2.00,0,1,1
13,Frederica Tope  ,1/22/2020,Location B,0.00,0,1,1
88,Dorine Varnell  ,1/26/2020,Location B,4.00,3,2,2
70,Khalilah Gratz  ,4/8/2020,Location C,0.00,0,5,5
81,Rueben Maxfield  ,4/6/2020,Location A,8.00,2,2,2
47,Archie Mobley  ,3/5/2020,Location A,1.00,1,5,1
15,Bobbie Cannella  ,2/3/2020,Location B,1.00,1,3,1
66,Frederica Tope  ,2/1/2020,Location D,3.00,0,4,3
6,Mariano Defibaugh  ,3/13/2020,Location A,6.00,2,5,3
47,Frederica Tope  ,1/12/2020,Location D,7.00,4,3,1
44,Carolina Golla  ,3/10/2020,Location B,4.00,1,1,1
49,Frederica Tope  ,1/2/2020,Location B,7.00,7,3,2
81,Dorine Varnell  ,2/25/2020,Location D,4.00,0,5,2
17,Alvina Brazee  ,4/7/2020,Location B,4.00,4,5,2
10,Felica Pajak  ,3/21/2020,Location A,5.00,4,5,1
13,Dorine Varnell  ,1/26/2020,Location B,4.00,1,3,3
20,Alvina Brazee  ,1/18/2020,Location B,4.00,0,1,1
2,Frederica Tope  ,2/11/2020,Location B,3.00,2,3,1
33,Carolina Golla  ,2/19/2020,Location B,6.00,2,3,3
63,Khalilah Gratz  ,2/28/2020,Location C,0.00,0,4,1
29,Frederica Tope  ,4/1/2020,Location D,0.00,0,3,3
63,Carolina Golla  ,3/30/2020,Location B,0.00,0,5,1
28,Bobbie Cannella  ,4/3/2020,Location B,3.00,2,1,1
78,Bobbie Cannella  ,1/24/2020,Location D,1.00,1,5,4
6,Rueben Maxfield  ,1/27/2020,Location C,5.00,3,4,1
85,Frederica Tope  ,3/12/2020,Location D,7.00,6,4,4
3,Carolina Golla  ,2/29/2020,Location D,0.00,0,3,3
85,Frederica Tope  ,3/22/2020,Location B,8.00,3,3,3
99,Bobbie Cannella  ,2/3/2020,Location B,0.00,0,2,1
36,Alvina Brazee  ,3/18/2020,Location B,1.00,0,2,2
2,Bobbie Cannella  ,1/24/2020,Location D,1.00,0,5,4
78,Alvina Brazee  ,1/8/2020,Location D,2.00,0,5,3
4,Frederica Tope  ,3/2/2020,Location B,8.00,6,4,4
71,Rueben Maxfield  ,1/27/2020,Location C,8.00,5,5,4
31,Dorine Varnell  ,2/15/2020,Location B,0.00,0,2,2
28,Bobbie Cannella  ,3/24/2020,Location D,2.00,2,2,2
35,Dorine Varnell  ,3/6/2020,Location B,5.00,0,1,1
10,Archie Mobley  ,3/25/2020,Location A,5.00,1,3,1
15,Archie Mobley  ,3/15/2020,Location C,7.00,3,2,1
12,Mariano Defibaugh  ,1/3/2020,Location C,8.00,6,1,1
31,Rueben Maxfield  ,2/26/2020,Location A,3.00,3,1,1
99,Khalilah Gratz  ,2/18/2020,Location A,5.00,1,2,1
42,Alvina Brazee  ,3/18/2020,Location B,1.00,0,5,3
72,Bobbie Cannella  ,3/4/2020,Location D,0.00,0,2,2
81,Felica Pajak  ,1/1/2020,Location A,2.00,0,5,4
90,Carolina Golla  ,2/19/2020,Location B,5.00,3,2,1
55,Alvina Brazee  ,3/18/2020,Location B,8.00,4,2,1
43,Bobbie Cannella  ,1/14/2020,Location B,1.00,0,1,1
30,Felica Pajak  ,2/10/2020,Location A,2.00,0,1,1
57,Felica Pajak  ,1/21/2020,Location A,8.00,5,1,1
2,Khalilah Gratz  ,4/8/2020,Location C,3.00,0,5,5
46,Mariano Defibaugh  ,1/3/2020,Location C,3.00,2,4,4
16,Felica Pajak  ,3/21/2020,Location A,6.00,0,1,1
41,Bobbie Cannella  ,4/3/2020,Location B,5.00,1,5,4
10,Alvina Brazee  ,1/18/2020,Location B,7.00,0,2,1
98,Dorine Varnell  ,2/25/2020,Location D,8.00,2,1,1
92,Mariano Defibaugh  ,1/23/2020,Location C,8.00,7,5,5
47,Bobbie Cannella  ,1/14/2020,Location B,0.00,0,5,5
56,Carolina Golla  ,2/19/2020,Location B,7.00,4,1,1
48,Mariano Defibaugh  ,2/22/2020,Location A,5.00,5,2,1
65,Archie Mobley  ,1/5/2020,Location A,4.00,0,4,4
31,Rueben Maxfield  ,3/7/2020,Location C,2.00,1,5,2
28,Dorine Varnell  ,1/6/2020,Location B,2.00,2,4,3
96,Frederica Tope  ,3/12/2020,Location D,7.00,4,4,1
33,Carolina Golla  ,1/20/2020,Location D,5.00,1,1,1
62,Bobbie Cannella  ,3/4/2020,Location D,7.00,6,4,2
27,Bobbie Cannella  ,3/14/2020,Location B,2.00,0,4,4
40,Mariano Defibaugh  ,1/13/2020,Location A,2.00,0,2,2
27,Frederica Tope  ,1/2/2020,Location B,5.00,2,2,2
23,Khalilah Gratz  ,1/9/2020,Location A,2.00,1,2,2
39,Carolina Golla  ,1/20/2020,Location D,8.00,8,2,2
37,Mariano Defibaugh  ,2/12/2020,Location C,0.00,0,1,1
82,Bobbie Cannella  ,3/14/2020,Location B,2.00,2,1,1
12,Mariano Defibaugh  ,3/13/2020,Location A,7.00,5,5,1
10,Alvina Brazee  ,1/18/2020,Location B,5.00,0,5,4
54,Dorine Varnell  ,1/6/2020,Location B,8.00,8,4,4
29,Bobbie Cannella  ,3/14/2020,Location B,3.00,1,5,3
71,Frederica Tope  ,2/1/2020,Location D,2.00,2,1,1
7,Bobbie Cannella  ,2/13/2020,Location D,1.00,1,3,3
32,Alvina Brazee  ,1/28/2020,Location D,6.00,4,4,1
97,Frederica Tope  ,4/1/2020,Location D,0.00,0,2,1
62,Dorine Varnell  ,1/6/2020,Location B,3.00,1,3,1
12,Archie Mobley  ,1/15/2020,Location C,3.00,1,5,5
6,Alvina Brazee  ,1/18/2020,Location B,0.00,0,3,1
11,Rueben Maxfield  ,3/17/2020,Location A,3.00,0,5,1
7,Carolina Golla  ,3/30/2020,Location B,1.00,1,1,1
66,Archie Mobley  ,4/4/2020,Location C,2.00,1,5,1
41,Khalilah Gratz  ,3/29/2020,Location A,3.00,0,4,1
36,Mariano Defibaugh  ,4/2/2020,Location A,0.00,0,2,2
88,Bobbie Cannella  ,1/14/2020,Location B,1.00,0,1,1
44,Khalilah Gratz  ,4/8/2020,Location C,4.00,2,3,1
95,Khalilah Gratz  ,2/28/2020,Location C,1.00,1,5,1
88,Dorine Varnell  ,2/5/2020,Location D,5.00,4,4,3
16,Rueben Maxfield  ,1/7/2020,Location C,4.00,1,1,1
53,Rueben Maxfield  ,1/17/2020,Location A,3.00,2,3,3
45,Alvina Brazee  ,3/28/2020,Location D,0.00,0,5,3
24,Frederica Tope  ,3/2/2020,Location B,6.00,6,5,2
61,Carolina Golla  ,1/10/2020,Location B,2.00,0,1,1
48,Khalilah Gratz  ,3/19/2020,Location C,0.00,0,3,1
34,Mariano Defibaugh  ,2/22/2020,Location A,5.00,0,5,4
57,Bobbie Cannella  ,4/3/2020,Location B,0.00,0,2,1
45,Carolina Golla  ,3/20/2020,Location D,1.00,1,2,1
52,Archie Mobley  ,3/5/2020,Location A,1.00,0,2,1
90,Bobbie Cannella  ,3/14/2020,Location B,2.00,1,4,4
16,Archie Mobley  ,2/4/2020,Location C,2.00,2,1,1
12,Alvina Brazee  ,3/18/2020,Location B,3.00,1,3,3
15,Carolina Golla  ,4/9/2020,Location D,8.00,3,3,1
39,Khalilah Gratz  ,3/9/2020,Location A,4.00,0,1,1
30,Felica Pajak  ,2/10/2020,Location A,7.00,1,2,2
85,Dorine Varnell  ,2/25/2020,Location D,8.00,4,1,1
94,Alvina Brazee  ,1/28/2020,Location D,5.00,4,2,1
56,Alvina Brazee  ,3/18/2020,Location B,7.00,1,5,1
43,Khalilah Gratz  ,2/28/2020,Location C,3.00,1,1,1
35,Mariano Defibaugh  ,4/2/2020,Location A,2.00,0,5,1
40,Carolina Golla  ,2/9/2020,Location D,2.00,0,2,1
81,Mariano Defibaugh  ,2/22/2020,Location A,0.00,0,3,2
25,Frederica Tope  ,3/22/2020,Location B,7.00,7,5,5
20,Frederica Tope  ,3/22/2020,Location B,1.00,1,3,2
91,Carolina Golla  ,2/19/2020,Location B,7.00,2,1,1
51,Carolina Golla  ,3/30/2020,Location B,3.00,3,5,5
72,Khalilah Gratz  ,1/19/2020,Location C,8.00,8,2,1
32,Frederica Tope  ,3/22/2020,Location B,4.00,3,2,1
12,Bobbie Cannella  ,2/3/2020,Location B,6.00,0,3,1
74,Frederica Tope  ,1/22/2020,Location B,7.00,6,1,1
39,Felica Pajak  ,2/10/2020,Location A,1.00,1,2,2
52,Archie Mobley  ,2/24/2020,Location C,3.00,2,4,4
6,Rueben Maxfield  ,2/26/2020,Location A,3.00,2,5,3
31,Khalilah Gratz  ,4/8/2020,Location C,5.00,1,2,2
36,Bobbie Cannella  ,1/14/2020,Location B,7.00,0,1,1
17,Bobbie Cannella  ,2/23/2020,Location B,4.00,2,2,1
31,Khalilah Gratz  ,1/29/2020,Location A,4.00,1,1,1
40,Carolina Golla  ,1/20/2020,Location D,2.00,1,3,1
83,Mariano Defibaugh  ,4/2/2020,Location A,8.00,0,3,3
19,Archie Mobley  ,1/25/2020,Location A,7.00,5,1,1
59,Felica Pajak  ,3/31/2020,Location C,6.00,2,3,1
100,Khalilah Gratz  ,4/8/2020,Location C,8.00,6,5,5
22,Archie Mobley  ,1/15/2020,Location C,4.00,3,4,3
22,Alvina Brazee  ,3/8/2020,Location D,8.00,8,4,3
9,Frederica Tope  ,4/1/2020,Location D,7.00,7,5,2
99,Alvina Brazee  ,3/8/2020,Location D,4.00,2,3,2
60,Alvina Brazee  ,3/28/2020,Location D,5.00,2,4,4
75,Archie Mobley  ,2/4/2020,Location C,3.00,0,1,1
48,Frederica Tope  ,1/22/2020,Location B,0.00,0,4,1
30,Rueben Maxfield  ,1/7/2020,Location C,8.00,0,1,1
95,Mariano Defibaugh  ,3/3/2020,Location C,6.00,0,4,3
72,Felica Pajak  ,2/10/2020,Location A,5.00,2,3,1
89,Khalilah Gratz  ,2/18/2020,Location A,1.00,0,3,2
54,Bobbie Cannella  ,2/3/2020,Location B,8.00,1,5,3
7,Bobbie Cannella  ,1/14/2020,Location B,3.00,2,4,1
16,Khalilah Gratz  ,3/29/2020,Location A,7.00,2,2,2
32,Felica Pajak  ,3/11/2020,Location C,1.00,0,1,1
12,Dorine Varnell  ,2/15/2020,Location B,6.00,4,1,1
18,Carolina Golla  ,3/10/2020,Location B,5.00,1,5,2
28,Dorine Varnell  ,4/5/2020,Location D,5.00,2,2,1
97,Frederica Tope  ,1/12/2020,Location D,0.00,0,2,2
79,Carolina Golla  ,1/20/2020,Location D,1.00,1,1,1
44,Mariano Defibaugh  ,3/23/2020,Location C,3.00,2,3,3
42,Archie Mobley  ,4/4/2020,Location C,8.00,3,1,1
82,Frederica Tope  ,3/12/2020,Location D,0.00,0,4,2
37,Mariano Defibaugh  ,3/13/2020,Location A,0.00,0,5,3
94,Dorine Varnell  ,1/26/2020,Location B,5.00,3,2,2
15,Bobbie Cannella  ,1/4/2020,Location D,8.00,2,5,3
1,Carolina Golla  ,1/20/2020,Location D,5.00,1,1,1
30,Khalilah Gratz  ,2/18/2020,Location A,3.00,2,2,2
89,Bobbie Cannella  ,3/14/2020,Location B,1.00,0,1,1
9,Felica Pajak  ,1/21/2020,Location A,1.00,1,3,2
29,Frederica Tope  ,3/12/2020,Location D,0.00,0,4,2
50,Felica Pajak  ,3/21/2020,Location A,3.00,2,2,2
29,Rueben Maxfield  ,2/16/2020,Location C,0.00,0,5,1
75,Frederica Tope  ,3/12/2020,Location D,3.00,3,3,1
51,Mariano Defibaugh  ,1/13/2020,Location A,7.00,0,1,1
28,Felica Pajak  ,3/11/2020,Location C,7.00,5,4,1
38,Carolina Golla  ,2/9/2020,Location D,3.00,1,2,1
6,Archie Mobley  ,2/14/2020,Location A,8.00,5,1,1
41,Mariano Defibaugh  ,1/23/2020,Location C,2.00,1,4,4
36,Alvina Brazee  ,3/18/2020,Location B,2.00,0,5,4
6,Carolina Golla  ,4/9/2020,Location D,3.00,3,4,3
21,Khalilah Gratz  ,3/29/2020,Location A,0.00,0,1,1
20,Felica Pajak  ,1/1/2020,Location A,4.00,2,1,1
99,Khalilah Gratz  ,2/18/2020,Location A,5.00,2,5,1
17,Dorine Varnell  ,3/16/2020,Location D,7.00,1,2,1
57,Mariano Defibaugh  ,1/13/2020,Location A,5.00,2,2,1
18,Alvina Brazee  ,1/28/2020,Location D,5.00,0,5,3
28,Felica Pajak  ,2/10/2020,Location A,1.00,1,3,1
3,Dorine Varnell  ,4/5/2020,Location D,4.00,1,2,2
83,Carolina Golla  ,1/20/2020,Location D,8.00,1,2,2
71,Alvina Brazee  ,1/18/2020,Location B,0.00,0,2,1
59,Bobbie Cannella  ,3/24/2020,Location D,6.00,6,5,1
60,Rueben Maxfield  ,1/7/2020,Location C,8.00,5,5,1
42,Khalilah Gratz  ,1/19/2020,Location C,0.00,0,4,3
91,Archie Mobley  ,2/4/2020,Location C,7.00,5,5,4
57,Felica Pajak  ,3/31/2020,Location C,4.00,4,5,5
18,Bobbie Cannella  ,2/3/2020,Location B,2.00,2,2,2
68,Dorine Varnell  ,1/16/2020,Location D,3.00,1,3,2
21,Felica Pajak  ,2/10/2020,Location A,8.00,1,4,2
77,Bobbie Cannella  ,3/24/2020,Location D,6.00,1,2,2
63,Frederica Tope  ,1/22/2020,Location B,1.00,1,3,2
72,Frederica Tope  ,3/12/2020,Location D,2.00,0,2,1
47,Mariano Defibaugh  ,1/13/2020,Location A,4.00,1,1,1
68,Mariano Defibaugh  ,2/2/2020,Location A,0.00,0,2,2
54,Archie Mobley  ,2/4/2020,Location C,7.00,1,4,1
64,Carolina Golla  ,3/20/2020,Location D,4.00,2,2,2
66,Archie Mobley  ,2/14/2020,Location A,6.00,6,2,2
63,Alvina Brazee  ,4/7/2020,Location B,7.00,5,2,2
15,Khalilah Gratz  ,4/8/2020,Location C,2.00,1,2,2
83,Alvina Brazee  ,1/18/2020,Location B,0.00,0,2,2
37,Felica Pajak  ,1/31/2020,Location C,0.00,0,3,2
72,Felica Pajak  ,3/11/2020,Location C,5.00,3,3,1
1,Archie Mobley  ,1/15/2020,Location C,1.00,1,1,1
84,Felica Pajak  ,1/1/2020,Location A,7.00,1,2,1
13,Carolina Golla  ,1/10/2020,Location B,5.00,1,3,1
64,Rueben Maxfield  ,2/26/2020,Location A,8.00,7,1,1
28,Mariano Defibaugh  ,3/3/2020,Location C,2.00,1,1,1
14,Khalilah Gratz  ,2/8/2020,Location C,6.00,0,3,1
34,Rueben Maxfield  ,1/27/2020,Location C,4.00,3,5,3
28,Bobbie Cannella  ,3/14/2020,Location B,2.00,1,2,2
20,Bobbie Cannella  ,3/4/2020,Location D,0.00,0,2,2
18,Carolina Golla  ,2/29/2020,Location D,4.00,1,2,2
7,Frederica Tope  ,4/1/2020,Location D,2.00,1,4,2
52,Bobbie Cannella  ,1/4/2020,Location D,2.00,1,5,4
90,Khalilah Gratz  ,3/29/2020,Location A,8.00,6,2,1
92,Rueben Maxfield  ,1/27/2020,Location C,5.00,1,5,3
25,Mariano Defibaugh  ,2/22/2020,Location A,8.00,3,2,1
60,Bobbie Cannella  ,3/4/2020,Location D,5.00,0,5,3
81,Khalilah Gratz  ,2/8/2020,Location C,5.00,0,3,2
25,Bobbie Cannella  ,2/23/2020,Location B,3.00,2,4,2
60,Bobbie Cannella  ,2/23/2020,Location B,1.00,1,5,2
51,Mariano Defibaugh  ,1/3/2020,Location C,4.00,4,3,1
16,Bobbie Cannella  ,2/13/2020,Location D,3.00,3,3,1
43,Carolina Golla  ,1/20/2020,Location D,5.00,4,1,1
89,Dorine Varnell  ,1/16/2020,Location D,6.00,3,4,3
40,Dorine Varnell  ,2/15/2020,Location B,6.00,5,3,1
58,Frederica Tope  ,4/1/2020,Location D,0.00,0,4,2
9,Archie Mobley  ,1/5/2020,Location A,7.00,7,4,3
22,Alvina Brazee  ,3/18/2020,Location B,7.00,2,3,3
31,Archie Mobley  ,2/14/2020,Location A,8.00,0,2,2
97,Frederica Tope  ,1/12/2020,Location D,8.00,7,1,1
99,Archie Mobley  ,2/24/2020,Location C,6.00,4,5,1
80,Dorine Varnell  ,3/6/2020,Location B,0.00,0,3,3
23,Archie Mobley  ,1/15/2020,Location C,7.00,2,3,2
52,Mariano Defibaugh  ,4/2/2020,Location A,1.00,0,3,2
44,Frederica Tope  ,2/1/2020,Location D,6.00,4,1,1
53,Rueben Maxfield  ,2/6/2020,Location A,4.00,4,4,2
67,Archie Mobley  ,1/15/2020,Location C,5.00,5,1,1
48,Rueben Maxfield  ,3/17/2020,Location A,7.00,7,4,3
68,Frederica Tope  ,2/21/2020,Location D,4.00,2,3,3
98,Dorine Varnell  ,3/26/2020,Location B,5.00,5,1,1
96,Frederica Tope  ,4/1/2020,Location D,6.00,2,3,1
99,Felica Pajak  ,1/1/2020,Location A,5.00,2,5,3
47,Felica Pajak  ,1/31/2020,Location C,4.00,0,1,1
69,Alvina Brazee  ,3/28/2020,Location D,5.00,1,4,3
40,Mariano Defibaugh  ,3/13/2020,Location A,1.00,1,1,1
2,Mariano Defibaugh  ,1/23/2020,Location C,5.00,2,2,2
81,Archie Mobley  ,2/24/2020,Location C,7.00,0,3,1
52,Bobbie Cannella  ,4/3/2020,Location B,3.00,2,4,2
72,Rueben Maxfield  ,3/17/2020,Location A,3.00,3,3,3
99,Rueben Maxfield  ,1/17/2020,Location A,5.00,0,3,2
10,Bobbie Cannella  ,3/4/2020,Location D,6.00,1,4,2
95,Bobbie Cannella  ,1/4/2020,Location D,3.00,2,2,1
27,Khalilah Gratz  ,2/28/2020,Location C,0.00,0,1,1
15,Felica Pajak  ,1/1/2020,Location A,5.00,2,1,1
54,Frederica Tope  ,3/22/2020,Location B,1.00,0,1,1
24,Mariano Defibaugh  ,3/3/2020,Location C,5.00,4,3,2
58,Dorine Varnell  ,2/5/2020,Location D,5.00,2,2,1
43,Alvina Brazee  ,1/8/2020,Location D,1.00,1,1,1
46,Rueben Maxfield  ,3/7/2020,Location C,6.00,4,1,1
36,Mariano Defibaugh  ,3/13/2020,Location A,2.00,1,1,1
17,Khalilah Gratz  ,2/8/2020,Location C,7.00,2,5,1
83,Khalilah Gratz  ,3/9/2020,Location A,8.00,7,2,2
7,Dorine Varnell  ,3/6/2020,Location B,6.00,4,5,2
94,Felica Pajak  ,1/11/2020,Location C,5.00,0,5,2
61,Felica Pajak  ,2/10/2020,Location A,7.00,3,4,2
66,Mariano Defibaugh  ,3/23/2020,Location C,6.00,5,5,5
9,Bobbie Cannella  ,1/24/2020,Location D,7.00,3,1,1
39,Frederica Tope  ,1/22/2020,Location B,4.00,1,4,3
27,Khalilah Gratz  ,2/8/2020,Location C,6.00,6,1,1
69,Carolina Golla  ,3/20/2020,Location D,0.00,0,4,2
35,Rueben Maxfield  ,3/27/2020,Location C,6.00,3,2,2
85,Frederica Tope  ,2/1/2020,Location D,7.00,4,5,3
22,Dorine Varnell  ,2/15/2020,Location B,4.00,4,1,1
17,Alvina Brazee  ,3/18/2020,Location B,2.00,0,5,3
87,Mariano Defibaugh  ,3/3/2020,Location C,2.00,1,2,1
30,Rueben Maxfield  ,2/16/2020,Location C,0.00,0,5,1
35,Bobbie Cannella  ,2/13/2020,Location D,0.00,0,2,1
92,Carolina Golla  ,1/20/2020,Location D,7.00,7,2,1
26,Khalilah Gratz  ,1/29/2020,Location A,0.00,0,3,1
39,Felica Pajak  ,2/20/2020,Location C,6.00,6,4,1
93,Bobbie Cannella  ,2/23/2020,Location B,0.00,0,4,4
31,Felica Pajak  ,2/20/2020,Location C,3.00,1,4,2
88,Archie Mobley  ,3/25/2020,Location A,0.00,0,2,2
32,Dorine Varnell  ,2/25/2020,Location D,5.00,1,1,1
31,Frederica Tope  ,2/21/2020,Location D,1.00,1,3,3
47,Dorine Varnell  ,3/16/2020,Location D,5.00,0,1,1
72,Mariano Defibaugh  ,1/3/2020,Location C,3.00,0,2,2
40,Frederica Tope  ,2/1/2020,Location D,0.00,0,1,1
86,Bobbie Cannella  ,1/14/2020,Location B,1.00,1,3,3
66,Frederica Tope  ,2/1/2020,Location D,5.00,1,3,3
55,Khalilah Gratz  ,1/9/2020,Location A,8.00,6,2,1
97,Felica Pajak  ,2/20/2020,Location C,6.00,1,2,2
60,Felica Pajak  ,1/11/2020,Location C,5.00,5,2,1
37,Felica Pajak  ,1/11/2020,Location C,5.00,4,2,1
18,Archie Mobley  ,2/4/2020,Location C,2.00,2,2,2
23,Archie Mobley  ,3/25/2020,Location A,8.00,6,4,4
70,Bobbie Cannella  ,3/4/2020,Location D,5.00,5,1,1
16,Mariano Defibaugh  ,2/12/2020,Location C,5.00,5,4,4
93,Alvina Brazee  ,1/18/2020,Location B,7.00,1,2,1
20,Khalilah Gratz  ,1/19/2020,Location C,8.00,3,1,1
14,Dorine Varnell  ,3/26/2020,Location B,6.00,4,1,1
44,Khalilah Gratz  ,3/9/2020,Location A,4.00,2,1,1
26,Alvina Brazee  ,4/7/2020,Location B,8.00,1,5,3
58,Alvina Brazee  ,1/28/2020,Location D,7.00,0,5,4
88,Bobbie Cannella  ,3/24/2020,Location D,5.00,3,5,4
18,Bobbie Cannella  ,1/4/2020,Location D,6.00,0,3,2
87,Felica Pajak  ,1/21/2020,Location A,3.00,2,4,1
15,Frederica Tope  ,1/2/2020,Location B,5.00,3,3,1
85,Archie Mobley  ,1/25/2020,Location A,5.00,3,3,2
66,Carolina Golla  ,2/9/2020,Location D,7.00,1,2,2
85,Carolina Golla  ,2/9/2020,Location D,0.00,0,2,1
94,Archie Mobley  ,1/15/2020,Location C,7.00,1,2,1
26,Khalilah Gratz  ,2/18/2020,Location A,4.00,2,1,1
19,Felica Pajak  ,3/31/2020,Location C,2.00,2,1,1
45,Archie Mobley  ,3/15/2020,Location C,6.00,3,2,2
55,Frederica Tope  ,2/21/2020,Location D,2.00,2,2,2
97,Felica Pajak  ,1/21/2020,Location A,6.00,3,1,1
5,Mariano Defibaugh  ,2/22/2020,Location A,1.00,1,1,1
70,Archie Mobley  ,2/14/2020,Location A,6.00,3,5,4
92,Bobbie Cannella  ,2/3/2020,Location B,3.00,1,4,1
48,Khalilah Gratz  ,3/29/2020,Location A,8.00,5,4,2
74,Mariano Defibaugh  ,4/2/2020,Location A,4.00,4,4,2
94,Frederica Tope  ,2/1/2020,Location D,0.00,0,4,1
29,Mariano Defibaugh  ,1/13/2020,Location A,2.00,1,5,1
77,Rueben Maxfield  ,4/6/2020,Location A,3.00,0,2,1
79,Khalilah Gratz  ,3/19/2020,Location C,8.00,8,2,2
19,Felica Pajak  ,1/11/2020,Location C,2.00,0,3,1
81,Frederica Tope  ,2/1/2020,Location D,3.00,1,1,1
90,Felica Pajak  ,3/21/2020,Location A,6.00,4,5,1
79,Khalilah Gratz  ,1/9/2020,Location A,8.00,2,3,3
12,Archie Mobley  ,1/5/2020,Location A,7.00,0,4,1
58,Khalilah Gratz  ,3/19/2020,Location C,0.00,0,4,3
26,Carolina Golla  ,2/29/2020,Location D,6.00,4,1,1
82,Felica Pajak  ,3/11/2020,Location C,1.00,0,2,1
20,Mariano Defibaugh  ,2/22/2020,Location A,3.00,3,2,2
34,Frederica Tope  ,1/22/2020,Location B,5.00,4,5,4
69,Mariano Defibaugh  ,2/22/2020,Location A,6.00,0,1,1
71,Frederica Tope  ,3/2/2020,Location B,2.00,2,2,1
85,Rueben Maxfield  ,2/26/2020,Location A,3.00,0,1,1
63,Dorine Varnell  ,1/6/2020,Location B,3.00,0,4,4
8,Carolina Golla  ,3/30/2020,Location B,4.00,3,3,3
37,Rueben Maxfield  ,2/16/2020,Location C,2.00,1,4,4
91,Alvina Brazee  ,2/17/2020,Location D,4.00,3,3,2
36,Alvina Brazee  ,3/28/2020,Location D,0.00,0,1,1
43,Bobbie Cannella  ,3/4/2020,Location D,0.00,0,5,3
47,Bobbie Cannella  ,2/3/2020,Location B,6.00,5,3,1
10,Carolina Golla  ,3/10/2020,Location B,0.00,0,1,1
95,Rueben Maxfield  ,4/6/2020,Location A,2.00,1,5,3
60,Alvina Brazee  ,3/8/2020,Location D,0.00,0,5,1
98,Frederica Tope  ,2/1/2020,Location D,1.00,1,2,1
9,Carolina Golla  ,3/30/2020,Location B,7.00,4,3,2
81,Bobbie Cannella  ,3/14/2020,Location B,8.00,6,5,4
51,Archie Mobley  ,3/25/2020,Location A,4.00,0,1,1
75,Rueben Maxfield  ,2/6/2020,Location A,1.00,0,5,1
75,Rueben Maxfield  ,2/26/2020,Location A,4.00,2,5,5
62,Carolina Golla  ,3/20/2020,Location D,5.00,2,3,1
100,Rueben Maxfield  ,3/7/2020,Location C,5.00,0,1,1
2,Frederica Tope  ,3/22/2020,Location B,0.00,0,1,1
27,Bobbie Cannella  ,1/24/2020,Location D,8.00,6,3,3
39,Felica Pajak  ,2/10/2020,Location A,1.00,0,5,5
97,Alvina Brazee  ,1/8/2020,Location D,2.00,0,2,1
11,Carolina Golla  ,3/30/2020,Location B,5.00,5,4,1
12,Alvina Brazee  ,3/28/2020,Location D,7.00,7,5,2
6,Khalilah Gratz  ,2/8/2020,Location C,8.00,4,4,4
89,Bobbie Cannella  ,2/13/2020,Location D,7.00,7,5,1
78,Dorine Varnell  ,3/6/2020,Location B,7.00,4,2,1
69,Carolina Golla  ,2/29/2020,Location D,2.00,2,4,3
73,Bobbie Cannella  ,1/24/2020,Location D,3.00,2,1,1
63,Frederica Tope  ,2/11/2020,Location B,4.00,1,3,2
44,Frederica Tope  ,2/21/2020,Location D,4.00,4,5,3
